Kod producenta;ean;id JMK;Producent;Bieżnik;Sezon;Rodzaj;nazwa;szerokosc;profil;srednica;Indeks prędkości 1;Indeks Prędkości 2;Indeks Nośność 1;Indeks Nośność 2;Zamiennik;System;Magazyn 1 ilosc;Magazyn 2 ilosc;Cena detal netto;Cena klient netto;Opór toczenia;Przyczepność;Hałas Klasa;Hałas dB;Dot;Konstrukcja;Masa brutto;EPRELURL;Informacje_dodatkowe
5001504700000;8590341039842;50869;Mitas;TD19;;rolnicze;OPONA 12.4-24 (320/85-24) TD19 8PR TT Mitas;12.4;;24;;;8PR;;320/85-24;;1;1;1238,00;817,08;;;;;;-;0;;
5001504800000;8590341004420;3257;Mitas;TD02;;rolnicze;OPONA 18.4-34 (460/85-34) TD02 12PR TT Mitas;18.4;;34;;;12PR;;460/85-34;;3;3;2967,00;1958,22;;;;;;-;124 kg;;
5001504870000;8590341017147;58844;Mitas;TS06;;rolnicze;OPONA 5.00-15 TS06 6PR TT Mitas;5.00;;15;;;6PR;;;;2;2;301,00;198,66;;;;;;-;6 kg;;
5001505790000;8590341062703;51875;Mitas;TF03;;rolnicze;OPONA 7.50-16 TF03 8PR TT Mitas;7.50;;16;;;8PR;;;;1;1;500,00;330,00;;;;;;-;0;;
5001505800000;8590341016621;85618;Mitas;TF03;;rolnicze;OPONA 7.50-16 TF03 6PR TT Mitas;7.50;;16;;;6PR;;;;14;14;455,00;300,30;;;;;;-;16 kg;;
5001506080000;8590341018526;51883;Mitas;TS02;;rolnicze;OPONA 5.00-12 TS02 6PR TT Mitas;5.00;;12;;;6PR;;;;3;3;273,00;180,18;;;;;;-;0;;
5001506110000;8590341108708;51860;Mitas;TS-06;;rolnicze;OPONA 6.5/80-12 (6.5/90-12) TS-06 6PR TT Mitas;6.5;80;12;;;6PR;;6.5/90-12;;4;4;329,00;217,14;;;;;;-;0;;
5001506160000;8590341109231;76531;Mitas;TS06;;rolnicze;OPONA 6.5/90-15 TS06 6PR TT Mitas;6.5;90;15;;;6PR;;;;5;5;426,00;281,16;;;;;;-;8 kg;;
5001506260000;8590341017253;1000;Mitas;TS07;;rolnicze;OPONA 690X180-15 TS07 4PR TT Mitas;690X180;;15;;;4PR;;;;15;15;420,00;277,20;;;;;;-;9 kg;;
5001506370000;8059971037821;72428;Mitas;TF01;;rolnicze;OPONA 7.50-16 TF01 6PR TT Mitas;7.50;;16;;;6PR;;;;6;6;476,00;314,16;;;;;;-;16 kg;;
