id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
161150;8903094006540;BKT;FLOT 648 E;750/60-30.5; 182/179;A8/B;TL;16;6600;0;222.5;inne;wielosezonowe 
161154;;BKT;SKID POWER;;;;;;295;0;;inne;wielosezonowe 
161207;;BKT;XL GRIP  IND-3;16.00-25;196/177;A2/B;TL;32;6500;0;232;przemysłowe;wielosezonowe 
161365;;BKT;RIDEMAX IT-696;;;;;;3450;0;;inne;wielosezonowe 
161375;;BKT;CON STAR IND E;;;;;;1950;0;;inne;wielosezonowe 
161377;8903094044689;BKT;AGRIMAX FORCE  E; 600/70R28;164;D;TL;;6230;1;182;rolnicze;wielosezonowe 
161473;;BKT;TR 391;;;;;;1440;0;;inne;wielosezonowe 
161484;;BKT;Ridemax IT 696 IND E;480/80R34;164/159;A8/D;TL;;5200;1;152.3;inne;wielosezonowe 
161485;8903094038640;BKT;RIDEMAX IT 696 IND E;400/80R24;149/144;A8/D;TL;;3400;0;87.16;inne;wielosezonowe 
161548;8903094018963;BKT;AS 504;400/80-24;162;A8;TL;;1670;0;77.2;inne;wielosezonowe 
161961;8903094037094;BKT;AGRIMAX RT 945;320/90R54;156/156;A8/B;TL;;3980;0;126;inne;wielosezonowe 
162247;;BKT;PAC MASTER;205/60-15;;;TT (dętkow;6;450;0;17;inne;wielosezonowe 
162279;8903094048038;BKT;FL 635;620/40R22.5;154;D;TL (bezdęt;;3530;1;105;inne;wielosezonowe 
162346;8903094038657;BKT;RIDEMAX IT 696;440/80R34;159A8/155D;/;TL (bezdęt;;4860;2;130;inne;wielosezonowe 
162839;;BKT;AW 702;14.5/80-18;155;A8;TT;12;1280;1;50.50;inne;wielosezonowe 
162840;8903094051366;BKT;MULTIMAX MP 513;365/70R18;133;G;TL (bezdęt;;1840;0;50;inne;wielosezonowe 
162876;8903094063529;BKT;AGRIMAX RT 765; 620/70R46;162/162;A8/B;TL;;9560;1;256;inne;wielosezonowe 
163181;8903094009732;BKT;AW 702;13.0/55-16;146;A8;TL (bezdęt;18;595;2;23;inne;wielosezonowe 
163291;8903094009831;BKT;V-LINE AW 702;13.0/65-18;144;A8;TL;16;725;0;31;inne;wielosezonowe 
163334;;BKT;AGRIMAX RT 945;380/90R50(14.9R50);151/B;A8/;TL (bezdęt;;4980;1;157;inne;wielosezonowe 
163335;;BKT;PT - HD  (ZESTAW-SET);10.00-20;;;TT (dętkow;18;1900;1;75;inne;wielosezonowe 
163356;;BKT;PL 801 (ZESTAW-SET);;;;;;159;0;;inne;wielosezonowe 
163359;;BKT;PL 801 (ZESTAW-SET);;;;;;280;0;;inne;wielosezonowe 
163360;;BKT;PL 801 (ZESTAW-SET);;;;;;840;1;;inne;wielosezonowe 
163361;;BKT;PL 801 (ZESTAW-SET);;;;;;565;0;;inne;wielosezonowe 
163362;;BKT;PL 801  (ZESTAW-SET);;;;;;235;0;;inne;wielosezonowe 
163363;;BKT;PT - HD  (ZESTAW-SET);;;;;;860;1;;inne;wielosezonowe 
163364;;BKT;PL 801  (ZESTAW-SET);;;;;;384;0;;inne;wielosezonowe 
163365;;BKT;PT - HD (ZESTAW-SET);;;;;;610;2;;inne;wielosezonowe 
163366;;BKT;PL 801 (ZESTAW-SET);;;;;;230;1;;inne;wielosezonowe 
163367;;BKT;PL 801TT (ZESTAW-SET);;;;;;365;1;;inne;wielosezonowe 
163368;;BKT;PL 801 (ZESTAW-SET);;;;;;700;1;;inne;wielosezonowe 
163369;;BKT;EM 936 (ZESTAW-SET);;;;;;1170;0;;inne;wielosezonowe 
163468;8903094044634;BKT;AGRIMAX TERIS CHO;520/85R42;168;D;TL;;7615;1;211;inne;wielosezonowe 
163469;8903094045211;BKT;AGRIMAX FORCE;600/70R30;165;D;TL;;6540;1;191;inne;wielosezonowe 
163470;;BKT;AGRIMAX FORCE;600/70R34;167;D;TL;;7235;0;210;inne;wielosezonowe 
