10001754;8904288105674;CEAT;Opona 380 / 85 R 30, Farmax R85;138 A8 / 135 D, TL, C.R.;CEAT;1;1542,41;6,00;0,00;
10001756;8904288106077;CEAT;Opona 520 / 85 R 38, Farmax R85;172 A8 / 169 D, TL, C.R.;CEAT;1;3084,81;4,00;0,00;
10001774;8904288106275;CEAT;Opona 280 / 70 R 20, Farmax R70;119 A8 / 116 D, TL, C.R.;CEAT;1;676,12;4,00;0,00;
10001777;8904288105537;CEAT;Opona 480 / 70 R 28, Farmax R70;154 A8 / 151 D, TL, C.R.;CEAT;1;2150,92;10,00;0,00;
10001782;8904288106633;CEAT;Opona 480 / 70 R 34, Farmax R70;152 A8 / 149 D, TL, C.R.;CEAT;1;3127,98;1,00;0,00;
10001801;8904288106770;CEAT;Opona 340 / 85 R 38, Farmax R85;136 A8 / 133 D, TL, C.R.;CEAT;1;1626,92;6,00;0,00;
10001808;8904288106336;CEAT;Opona 520 / 70 R 30, Farmax R70;148 A8 / 145 D, TL, C.R.;CEAT;1;2619,98;4,00;0,00;
10001819;8904288106695;CEAT;Opona 520 / 70 R 34, Farmax R70;151 A8 / 148 D, TL, C.R.;CEAT;1;2704,49;10,00;0,00;
10001829;8904288105896;CEAT;Opona 360 / 70 R 28, Farmax R70;128 A8 / 125 D, TL, C.R.;CEAT;1;1326,89;10,00;0,00;
10001857;8906117628712;CEAT;Opona 10.00 - 20, Grip Master EX;16 PR, 146 B, TT;CEAT;1;954,60;10,00;0,00;
10001905;8906117627913;CEAT;Opona 800 / 70 R 38, Farmax HPT;181 A8 / 178 D, TL;CEAT;1;9507,98;4,00;0,00;
10002057;8904288105520;CEAT;Opona 580 / 70 R 38, Farmax R70;183 A8 / 180 D, TL, C.R.;CEAT;1;4099,00;8,00;0,00;
10002081;8906117627074;CEAT;Opona 400 / 70 R 20, Loadpro;149 A8 / 149 B, TL, Steel Belted;CEAT;1;1479,02;9,00;0,00;
10002551;8903635056324;Alliance;Opona 650 / 65 R 42, Agri Star II;170 D, TL;Alliance;1;4664,01;2,00;0,00;
10002552;8903635056409;Alliance;Opona 480 / 65 R 24, Agri Star II;140 D, TL;Alliance;1;1924,00;5,00;0,00;
10002553;8903635056447;Alliance;Opona 420 / 65 R 24, Agri Star II;138 D, TL;Alliance;1;1554,00;4,00;0,00;
10002554;8903635056454;Alliance;Opona 420 / 65 R 20, Agri Star II;135 D, TL;Alliance;1;1295,00;10,00;0,00;
10002557;8903635056430;Alliance;Opona 540 / 65 R 24, Agri Star II;146 D, TL;Alliance;1;2516,00;6,00;0,00;
10002558;8903635056300;Alliance;Opona 440 / 65 R 28, Agri Star II;138 D, TL;Alliance;1;1850,00;9,00;0,00;
10002559;8903635056393;Alliance;Opona 480 / 65 R 28, Agri Star II;142 D, TL;Alliance;1;2146,00;4,00;0,00;
10002560;8903635054214;Alliance;Opona 540 / 65 R 28, Agri Star II;149 D, TL;Alliance;1;2302,48;8,00;0,00;
10002563;8903635056287;Alliance;Opona 540 / 65 R 34, Agri Star II;152 D, TL;Alliance;1;2685,79;8,00;0,00;
10002564;8903635056362;Alliance;Opona 600 / 65 R 34, Agri Star II;157 D, TL;Alliance;1;3424,20;6,00;0,00;
10002565;8903635056386;Alliance;Opona 540 / 65 R 38, Agri Star II;153 D, TL;Alliance;1;2946,61;6,00;0,00;
10002567;8903635056980;Alliance;Opona 650 / 65 R 38, Agri Star II;171 D, TL;Alliance;1;4292,00;10,00;0,00;
10002620;8906117626947;CEAT;Opona 440 / 80 R 28, Loadpro;156 A8 / 156 B, TL, Steel Belted;CEAT;1;2155,14;10,00;0,00;
10002621;8906117629825;CEAT;Opona 850 / 50 R 30.5, Floatmax FT;182 D, TL, Steel Belted;CEAT;1;6127,37;4,00;0,00;
10002666;8904288105551;CEAT;Opona 280 / 70 R 16, Farmax R70;115 A8 / 112 D, TL, C.R.;CEAT;1;600,06;6,00;0,00;
10002668;8906117629849;CEAT;Opona 710 / 50 R 30.5, Floatmax FT;173 D, TL, Steel Belted;CEAT;1;4563,83;4,00;0,00;
10002669;8906117629818;CEAT;Opona 750 / 60 R 30.5, Floatmax FT;181 D, TL, Steel Belted;CEAT;1;4627,22;10,00;0,00;
10002670;8906117629801;CEAT;Opona VF 710 / 60 R 42 NRO, Torquemax;173 D, TL, Steel Belted;CEAT;1;6338,66;10,00;0,00;
10002671;8906117629887;CEAT;Opona VF 560 / 60 R 22.5, Floatmax VF X3;166 D, TL, Steel Belted;CEAT;1;3438,04;3,00;0,00;
10002672;8906117629610;CEAT;Opona 28 LR 26, Floatmax Cargo Plus;176 D, TL, Steel Belted;(750 / 65 R 26), CEAT;1;6127,37;4,00;0,00;
10002693;8906117629917;CEAT;Opona 500 / 70 R 24, Loadpro Hard Surface;164 A8 / 164 B, TL, Steel Belted;CEAT;1;2535,46;10,00;0,00;
10002767;4040658123337;Windpower;Opona 20.5 R 25, WL 36;193 A2, TL, E3 / L3, **, C.R.;Windpower;1;4685,37;8,00;0,00;
10002894;8906117629948;CEAT;Opona VF 420 / 95 R 50, Spraymax;177 D, TL, Steel Belted;CEAT;1;6281,55;4,00;0,00;
10002898;8906117629900;CEAT;Opona VF 600 / 60 R 30 NRO, Torquemax;162 D, TL, Steel Belted;CEAT;1;3507,39;10,00;0,00;
10002902;8906117629924;CEAT;Opona VF 650 / 85 R 38, Torquemax;182 D, TL, Steel Belted;CEAT;1;8409,28;10,00;0,00;
10002903;8904288107227;CEAT;Opona 405 / 70 R 20, Loadpro Hard Surface;149 A8 / 149 B, TL, Steel Belted;(16 / 70 R 20), CEAT;1;1690,31;10,00;0,00;
10002904;8904288113372;CEAT;Opona 405 / 70 R 18, Loadpro Hard Surface;147 A8 / 147 B, TL, Steel Belted;(16 / 70 R 18), CEAT;1;1648,05;9,00;0,00;
10002906;8906117627371;CEAT;Opona 5.50 - 16, Farmax X3 TF;6 PR, 88 A6, TT;CEAT;1;181,30;2,00;0,00;
10002975;8903635023463;Alliance;Opona 28 x 9 - 15, MH-504;14 PR, TT, C.R.;(8.15-15), d®tkÑ+ochraniacz, TR 75 A, Alliance;1;430,57;8,00;0,00;
10002992;8903635023470;Alliance;Opona 8.25 - 15, MH-504;14 PR, TT, H.R.;d®tkÑ+ochraniacz, TR 177 A, Alliance;1;666,00;10,00;0,00;
10003133;8903635065586;Alliance;Opona 500 / 50 - 22.5, 328 Value Plus;20 PR, 151 A8 / 163 A8, TL;Alliance;1;1332,32;7,00;0,00;
10003307;8903635027874;Alliance;Opona 23.1 - 26, Forestar 345;16 PR, 160 A6, TL, LS-2;Alliance;1;5597,40;4,00;0,00;
10003353;8904288110265;CEAT;Opona 265 / 70 R 16.5, MULTILOADMAX;130 A2 / 123 A8, TL, Steel Belted, M+S;CEAT;1;1106,30;4,00;0,00;
10003356;8904288110319;CEAT;Opona 360 / 70 R 20, MULTILOADMAX;136 A8 / 131 D, TL, Steel Belted, M+S;CEAT;1;2057,20;2,00;0,00;
10003357;8904288110326;CEAT;Opona 360 / 80 R 20, MULTILOADMAX;147 A8 / 143 D, TL, Steel Belted, M+S;CEAT;1;1690,31;6,00;0,00;
10003359;8904288110333;CEAT;Opona 360 / 80 R 24, MULTILOADMAX;150 A8 / 145 D, TL, Steel Belted, M+S;CEAT;1;1901,60;10,00;0,00;
10003360;8904288110364;CEAT;Opona 360 / 80 R 28, MULTILOADMAX;146 A8 / 142 D, TL, Steel Belted, M+S;CEAT;1;2786,84;4,00;0,00;
10003361;8904288107807;CEAT;Opona VF 710 / 60 R 34 NRO, Torquemax;173 D, TL, Steel Belted;CEAT;1;6549,94;8,00;0,00;
10003362;8904288107814;CEAT;Opona VF 650 / 60 R 38, Torquemax;173 D, TL, Steel Belted;CEAT;1;6549,94;4,00;0,00;
10003363;8906117629863;CEAT;Opona 800 / 45 R 26.5 , Floatmax FT;174 D, TL, Steel Belted;CEAT;1;4056,74;4,00;0,00;
10003381;8903635047025;Alliance;Opona VF 900 / 50 R 42, Agriflex 372 +;180 D, TL, Steel Belted;Alliance;1;8679,47;4,00;0,00;
10003404;8904288105452;CEAT;Opona 420 / 85 R 34, Farmax R85;150 A8 / 147 D, TL, C.R.;CEAT;1;2091,76;10,00;0,00;
10003405;8906117629078;CEAT;Opona VF 650 / 65 R 38 NRO, Torquemax;175 D, TL, Steel Belted;CEAT;1;5578,02;2,00;0,00;
10003407;8904288107708;CEAT;Opona VF 900 / 60 R 42, Torquemax;189 D, TL, Steel Belted;CEAT;1;10353,14;6,00;0,00;
10003411;8904288107777;CEAT;Opona VF 520 / 85 R 46 CFO, Torquemax;179 D, TL, Steel Belted;CEAT;1;6127,37;4,00;0,00;
10003421;8903635056256;Alliance;Opona VF 300 / 95 R 52ÿ, Agriflex 363 + XT;160 D, TL, Steel Belted;Alliance;1;3280,58;3,00;0,00;
10003450;8904288110401;CEAT;Opona 480 / 80 R 34, MULTILOADMAX;164 A8 / 159 D, TL, Steel Belted, M+S;CEAT;1;3211,59;8,00;0,00;
10003451;8904288110418;CEAT;Opona 480 / 80 R 38, MULTILOADMAX;166 A8 / 161 D, TL, Steel Belted, M+S;CEAT;1;4514,00;8,00;0,00;
10003452;8904288110371;CEAT;Opona 400 / 80 R 28, MULTILOADMAX;158 A8 / 153 D, TL, Steel Belted, M+S;CEAT;1;2619,98;6,00;0,00;
10003463;4040658127502;Turon;Opona 8.25 - 20, TerraClassic SKL800;14 PR, 133 B, TT;d®tkÑ+ochraniacz, TR 442, Turon;1;853,22;8,00;0,00;
10003506;8903635057505;Alliance;Opona 300 / 95 R 52, 350;159 A8 / 156 D, TL, Steel Belted;(12.4R52), Alliance;1;2890,22;4,00;0,00;
10003596;8906117629856;CEAT;Opona 750 / 45 R 26.5 , Floatmax FT;170 D, TL, Steel Belted;CEAT;1;3549,65;4,00;0,00;
